Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-06-02T11:29:40,2021-06-02T11:49:23,129,Pernajantie,39,Ooppera,3140.0,1176
2021-06-02T11:29:40,2021-06-02T11:52:34,134,Haukilahdenkatu,112,Rautatieläisenkatu,2758.0,1370
2021-06-02T11:29:40,2021-06-02T11:43:38,37,Töölönkatu,4,Viiskulma,2316.0,838
2021-06-02T11:29:39,2021-06-02T11:38:51,76,Olympiastadion,22,Rautatientori / länsi,1969.0,548
2021-06-02T11:29:35,2021-06-02T11:35:13,63,Jätkäsaarenlaituri,21,Töölönlahdenkatu,1752.0,334
2021-06-02T11:29:34,2021-06-02T13:19:28,137,Arabian kauppakeskus,76,Olympiastadion,3918.0,6590
2021-06-02T11:29:30,2021-06-02T11:38:11,1,Kaivopuisto,2,Laivasillankatu,1621.0,517
2021-06-02T11:29:27,2021-06-02T11:44:59,76,Olympiastadion,105,Tilkantori,2973.0,929
2021-06-02T11:29:21,2021-06-02T11:54:41,63,Jätkäsaarenlaituri,142,Koskelantie,6319.0,1516
2021-06-02T11:29:20,2021-06-02T11:39:52,360,Malmin asema,353,Helluntairaitti,2235.0,626
2021-06-02T11:29:18,2021-06-02T11:36:31,549,Maarinranta,533,Tekniikantie,1580.0,432
2021-06-02T11:29:05,2021-06-02T11:35:02,24,Mannerheimintie,37,Töölönkatu,1110.0,352
2021-06-02T11:29:02,2021-06-02T11:47:37,86,Kuusitie,21,Töölönlahdenkatu,3434.0,1111
2021-06-02T11:29:02,2021-06-02T11:56:50,239,Viikin tiedepuisto,126,Kalasatama (M),6148.0,1664
2021-06-02T11:29:00,2021-06-02T11:43:42,39,Ooppera,149,Toinen linja,1549.0,878
2021-06-02T11:28:59,2021-06-02T11:58:45,727,Ratsutori,214,Valimon asema,5180.0,1782
2021-06-02T11:28:53,2021-06-02T11:36:57,202,Merihaka,126,Kalasatama (M),1490.0,477
2021-06-02T11:28:43,2021-06-02T11:31:45,272,Marjaniementie,275,Itäkeskus (M),652.0,181
2021-06-02T11:28:17,2021-06-02T11:46:27,11,Unioninkatu,43,Karhupuisto,2617.0,1087
2021-06-02T11:28:11,2021-06-02T11:50:08,11,Unioninkatu,35,Cygnaeuksenkatu,2182.0,1314
2021-06-02T11:28:10,2021-06-02T11:37:43,16,Liisanpuistikko,124,Isoisänsilta,2732.0,571
2021-06-02T11:28:08,2021-06-02T11:37:37,137,Arabian kauppakeskus,139,Muotoilijankatu,2162.0,569
2021-06-02T11:27:59,2021-06-02T11:36:50,202,Merihaka,126,Kalasatama (M),1519.0,519
2021-06-02T11:27:57,2021-06-02T11:39:43,147,Käpylän asema,224,Vesakkotie,2135.0,702
2021-06-02T11:27:53,2021-06-02T11:40:04,35,Cygnaeuksenkatu,9,Erottajan aukio,1284.0,450
2021-06-02T11:27:51,2021-06-02T11:40:35,126,Kalasatama (M),115,Venttiilikuja,2336.0,763
2021-06-02T11:27:45,2021-06-02T11:37:53,290,Vallilan varikko,112,Rautatieläisenkatu,2289.0,601
2021-06-02T11:27:40,2021-06-02T12:17:05,241,Agronominkatu,213,Huopalahden asema,10416.0,2960
2021-06-02T11:27:37,2021-06-02T11:40:16,80,Jäähalli,22,Rautatientori / länsi,2656.0,755
2021-06-02T11:27:21,2021-06-02T11:35:00,66,Ehrenströmintie,5,Sepänkatu,1835.0,454
2021-06-02T11:27:13,2021-06-02T11:32:06,162,Leppäsuonaukio,36,Apollonkatu,749.0,288
2021-06-02T11:27:06,2021-06-02T11:34:41,62,Välimerenkatu,6,Hietalahdentori,1082.0,454
2021-06-02T11:26:25,2021-06-02T11:33:44,25,Narinkka,8,Vanha kirkkopuisto,1355.0,438
2021-06-02T11:26:24,2021-06-02T11:32:43,244,Relanderinaukio,126,Kalasatama (M),1829.0,379
2021-06-02T11:26:23,2021-06-02T11:41:11,81,Stenbäckinkatu,85,Jalavatie,2282.0,884
2021-06-02T11:26:23,2021-06-02T11:40:32,39,Ooppera,30,Itämerentori,3233.0,848
2021-06-02T11:26:21,2021-06-02T11:35:28,38,Töölöntori,8,Vanha kirkkopuisto,2067.0,545
2021-06-02T11:26:20,2021-06-02T11:37:23,63,Jätkäsaarenlaituri,49,Annankatu,1488.0,659
2021-06-02T11:26:17,2021-06-02T11:32:11,262,Siilitie (M),267,Roihupelto,853.0,349
2021-06-02T11:26:17,2021-06-02T11:35:00,161,Eteläesplanadi,16,Liisanpuistikko,1337.0,519
2021-06-02T11:26:15,2021-06-02T11:28:42,62,Välimerenkatu,63,Jätkäsaarenlaituri,486.0,142
2021-06-02T11:26:08,2021-06-02T11:30:42,38,Töölöntori,78,Messeniuksenkatu,1121.0,268
2021-06-02T11:26:03,2021-06-02T11:45:28,126,Kalasatama (M),22,Rautatientori / länsi,3749.0,1141
2021-06-02T11:26:01,2021-06-02T11:54:37,239,Viikin tiedepuisto,239,Viikin tiedepuisto,1006.0,1713
2021-06-02T11:25:59,2021-06-02T11:51:40,137,Arabian kauppakeskus,23,Kiasma,4396.0,1538
2021-06-02T11:25:58,2021-06-02T11:37:25,112,Rautatieläisenkatu,86,Kuusitie,2623.0,682
2021-06-02T11:25:55,2021-06-02T11:30:57,203,Opastinsilta,131,Elimäenkatu,855.0,297
2021-06-02T11:25:42,2021-06-02T11:34:42,112,Rautatieläisenkatu,46,Diakoniapuisto,1927.0,535
2021-06-02T11:25:42,2021-06-02T11:30:34,246,Tupasaarentie,244,Relanderinaukio,722.0,288
2021-06-02T11:25:37,2021-06-02T11:34:27,15,Ritarikatu,149,Toinen linja,1741.0,526
2021-06-02T11:25:35,2021-06-02T11:50:32,239,Viikin tiedepuisto,364,Ala-Malmin tori,3951.0,1492
2021-06-02T11:25:34,2021-06-02T11:29:45,3,Kapteeninpuistikko,5,Sepänkatu,503.0,250
2021-06-02T11:25:32,2021-06-02T11:49:26,11,Unioninkatu,35,Cygnaeuksenkatu,2142.0,1431
2021-06-02T11:25:22,2021-06-02T11:44:23,402,Bermudankuja,41,Ympyrätalo,4878.0,1141
2021-06-02T11:25:21,2021-06-02T11:30:30,503,Keilalahti,503,Keilalahti,263.0,304
2021-06-02T11:25:20,2021-06-02T11:27:07,149,Toinen linja,41,Ympyrätalo,347.0,103
2021-06-02T11:25:16,2021-06-02T11:53:42,239,Viikin tiedepuisto,239,Viikin tiedepuisto,1012.0,1702
2021-06-02T11:25:14,2021-06-02T11:47:53,246,Tupasaarentie,82,Töölöntulli,6765.0,1356
2021-06-02T11:25:10,2021-06-02T11:31:08,306,Kauppakeskus Columbus,301,Aurinkotuulenkatu,1131.0,353
2021-06-02T11:25:09,2021-06-02T11:36:58,81,Stenbäckinkatu,81,Stenbäckinkatu,163.0,705
2021-06-02T11:25:09,2021-06-02T11:28:56,358,Syystie,360,Malmin asema,1159.0,188
2021-06-02T11:25:08,2021-06-02T11:28:19,547,Jämeräntaival,541,"Aalto-yliopisto (M), Korkeakouluaukio",684.0,186
2021-06-02T11:25:06,2021-06-02T11:34:32,338,Jakomäentie,330,Kontula (M),2712.0,564
2021-06-02T11:25:06,2021-06-02T11:41:08,80,Jäähalli,30,Itämerentori,3236.0,958
2021-06-02T11:25:04,2021-06-02T11:35:28,41,Ympyrätalo,12,Kanavaranta,2135.0,620
2021-06-02T11:24:59,2021-06-02T11:44:52,543,Otaranta,91,Seurasaari,4490.0,1188
2021-06-02T11:24:57,2021-06-02T11:41:04,2,Laivasillankatu,65,Hernesaarenranta,2795.0,961
2021-06-02T11:24:46,2021-06-02T11:31:39,40,Hakaniemi (M),18,Porthania,1072.0,327
2021-06-02T11:24:36,2021-06-02T11:29:17,727,Ratsutori,713,Upseerinkatu,635.0,276
2021-06-02T11:24:30,2021-06-02T11:29:08,521,Kulttuuriaukio,517,Länsituuli,401.0,277
